obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.8, 605329, 47986, 20898, 18474, 69799, 39310, 28847, 15695, 81, 41, 1, 846338,  2*
2, 3.8, 159759, 35850, 39732, 15229, 8360, 8799, 13030, 4921, 60, 63, 1, 285680,  2*
3, 4.9, 205616, 65088, 39087, 12888, 7860, 7502, 5408, 7840, 27, 60, 1, 351289,  2*
4, 5.8, 87118, 29441, 4500, 3136, 1658, 1458, 434, 576, 1, 57, 1, 128321,  2*
5, 7.8, 62176, 139917, 25976, 12115, 27093, 12969, 8146, 4642, 1, 50, 1, 293034,  2*
6, 8.7, 1817171, 254481, 63286, 16213, 22178, 21328, 6095, 8741, 1, 20, 1, 2209493,  2*
7, 9.8, 2778348, 61063, 18381, 21557, 13348, 8719, 8352, 4924, 1, 27, 0, 2914692,  2*
8, 10.8, 943219, 293367, 183135, 303034, 307431, 92464, 47866, 37674, 8, 43, 0, 2208190,  2*
9, 11.9, 603133, 113143, 53470, 7473, 11755, 8259, 7193, 4547, 1, 50, 1, 808973,  2*
10, 12.8, 145324, 180323, 39853, 21144, 27599, 28464, 36893, 19166, 10, 50, 1, 498766,  2*
11, 13.8, 1277032, 277770, 6105, 34550, 14769, 19417, 16552, 10874, 4, 34, 0, 1657069,  2*
12, 14.9, 1445225, 115402, 13579, 43569, 39327, 51009, 12415, 58189, 16, 20, 0, 1778715,  2*
13, 15.8, 183507, 113288, 11747, 16948, 5568, 46034, 49980, 34128, 40, 8, 0, 461200,  2*
14, 16.7, 29927, 24148, 5646, 5605, 6105, 5756, 7733, 2983, 43, 10, 1, 87903,  2*
15, 17.8, 31939, 16118, 5339, 14704, 6198, 16678, 4345, 4366, 69, 27, 0, 99687,  2*
16, 18.7, 4275, 11601, 26685, 5110, 8963, 4150, 8171, 5515, 56, 50, 1, 74470,  2*
17, 20.0, 19474, 14235, 5485, 4303, 5519, 5325, 5701, 5016, 53, 60, 1, 65058,  2*
18, 21.2, 36098, 23415, 3744, 4465, 6338, 7963, 5982, 5823, 57, 56, 0, 93828,  2*
19, 22.0, 308165, 39699, 7494, 6304, 6292, 6796, 6834, 5849, 40, 48, 1, 387433,  2*
20, 22.8, 24247, 75568, 28861, 15888, 14931, 6856, 4554, 3141, 34, 35, 1, 174046,  2*
21, 23.8, 6030, 8571, 6586, 3934, 2277, 11040, 3342, 3050, 43, 38, 1, 44830,  2*
22, 25.8, 444077, 15178, 33120, 19156, 9652, 6992, 8215, 4957, 30, 63, 1, 541347,  2*
23, 26.7, 82125, 98859, 9625, 11838, 10054, 8604, 6695, 6849, 43, 61, 0, 234649,  2*
24, 27.8, 1048298, 116219, 36197, 30648, 24864, 7486, 17280, 19186, 10, 60, 1, 1300178,  2*
25, 28.7, 3555, 17928, 9289, 4880, 5461, 6462, 8178, 5375, 20, 43, 1, 61128,  2*
26, 29.7, 36862, 20775, 2126, 8345, 13522, 6117, 2075, 4436, 16, 34, 0, 94258,  2*
27, 31.7, 20707, 41621, 45841, 6480, 7690, 12900, 3984, 4188, 23, 53, 1, 143411,  2*
28, 32.7, 41672, 31699, 15682, 8546, 8131, 13926, 3306, 2766, 48, 54, 1, 125728,  2*
29, 33.8, 412837, 117263, 9493, 21248, 4015, 7576, 4950, 4034, 30, 53, 0, 581416,  2*
30, 34.7, 4760, 8452, 5729, 5785, 6580, 5923, 6080, 3173, 41, 48, 0, 46482,  2*
31, 36.1, 13400, 17358, 24229, 4837, 5608, 22423, 8163, 3848, 50, 51, 1, 99866,  2*
32, 36.7, 78264, 40646, 30726, 12659, 4768, 4496, 7562, 1769, 30, 60, 1, 180890,  2*
33, 37.6, 45311, 12411, 20915, 6176, 7651, 8102, 5695, 3147, 50, 78, 1, 109408,  2*
34, 38.7, 22433, 37875, 21119, 6181, 12683, 8804, 5081, 4981, 40, 77, 1, 119157,  2*
35, 39.7, 7230, 11377, 15463, 8903, 9509, 8194, 4300, 2338, 30, 78, 1, 67314,  2*
36, 40.8, 11716, 16029, 1610, 12404, 16213, 7220, 9989, 14459, 51, 66, 0, 89640,  2*
37, 41.7, 6152, 8719, 8844, 21325, 2761, 7967, 4275, 3177, 51, 74, 0, 63220,  2*
38, 42.7, 6004, 6696, 5740, 7131, 10425, 7033, 3775, 5226, 63, 75, 0, 52030,  2*
39, 43.7, 3164, 6138, 10099, 2084, 4016, 5316, 4636, 7320, 66, 74, 1, 42773,  2*
40, 44.7, 31489, 42108, 8229, 7076, 5248, 12684, 4068, 5243, 63, 69, 1, 116145,  2*
41, 45.6, 20946, 5223, 16167, 2549, 8046, 18737, 3570, 4166, 81, 56, 1, 79404,  2*
42, 46.8, 2475, 8191, 9717, 1269, 2037, 4859, 5368, 4723, 77, 60, 1, 38639,  2*
