obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.5, 87984, 55024, 17088, 8225, 17024, 9823, 2342, 7967, 40, 27, 1, 205477,  2*
2, 3.5, 42745, 79818, 37534, 14877, 15607, 6366, 5241, 5767, 21, 29, 1, 207955,  2*
3, 4.4, 82088, 43886, 19730, 14507, 4490, 5562, 2445, 881, 11, 37, 1, 173589,  2*
4, 5.5, 112746, 38601, 10196, 6008, 2892, 6785, 3956, 3341, 14, 38, 1, 184525,  2*
5, 6.5, 933540, 109150, 61547, 15179, 5947, 5713, 4167, 2299, 14, 43, 1, 1137542,  2*
6, 7.6, 352578, 137301, 22884, 27491, 37488, 13262, 27022, 14459, 1, 34, 0, 632485,  2*
7, 8.5, 182234, 31188, 2362, 1310, 3001, 1003, 520, 267, 1, 8, 1, 221885,  2*
8, 9.5, 2687, 13707, 5284, 6259, 4846, 6256, 2922, 1605, 10, 20, 0, 43566,  2*
9, 10.5, 3436, 13520, 8352, 7315, 8999, 4742, 3933, 3388, 37, 23, 1, 53685,  2*
10, 11.5, 46130, 25512, 8356, 3128, 2968, 6794, 1653, 2008, 51, 35, 1, 96549,  2*
11, 12.4, 54604, 85342, 5236, 8048, 15941, 6496, 4463, 3881, 63, 37, 0, 184011,  2*
12, 13.5, 59312, 48369, 11880, 36609, 18979, 15205, 2811, 3123, 56, 38, 0, 196288,  2*
13, 14.4, 62283, 49725, 7855, 27075, 4324, 6747, 2282, 2751, 47, 38, 0, 163042,  2*
14, 15.4, 489565, 51456, 28207, 26026, 12458, 4666, 6684, 3869, 26, 53, 1, 622931,  2*
15, 16.5, 64827, 15640, 3269, 15025, 3277, 6339, 3925, 4912, 41, 81, 0, 117214,  2*
16, 17.4, 24831, 93183, 6476, 5934, 5706, 8044, 3796, 4883, 30, 56, 1, 152853,  2*
17, 18.6, 28391, 10813, 10583, 9674, 10637, 4520, 2738, 2515, 40, 61, 1, 79871,  2*
18, 19.5, 136238, 101926, 5473, 9333, 5570, 6755, 3175, 1830, 41, 34, 0, 270300,  2*
19, 20.4, 46300, 43626, 9583, 2768, 2555, 10188, 6845, 4425, 41, 14, 1, 126290,  2*
20, 21.5, 6768, 20743, 4482, 4340, 2018, 6063, 4221, 1741, 54, 30, 1, 50376,  2*
21, 22.4, 6776, 5720, 5125, 14499, 3007, 4485, 3900, 1597, 57, 41, 0, 45109,  2*
22, 23.5, 6437, 4309, 5749, 8508, 9256, 4060, 3797, 1421, 78, 67, 0, 43537,  2*
23, 24.5, 9757, 8441, 25064, 10012, 3828, 4240, 4272, 3633, 69, 97, 1, 69247,  2*
24, 25.4, 6182, 17606, 6923, 30910, 17388, 11095, 8595, 4113, 69, 100, 0, 102812,  2*
25, 27.4, 5525, 6178, 52073, 5215, 3094, 6543, 4315, 5581, 61, 100, 1, 88524,  2*
26, 28.4, 13936, 8657, 27567, 8637, 7823, 3884, 4219, 2924, 56, 100, 1, 77647,  2*
27, 29.5, 6351, 6688, 11730, 8096, 2686, 4555, 1999, 2727, 56, 100, 1, 44832,  2*
28, 30.4, 8231, 20718, 22933, 7235, 6842, 9187, 6926, 4655, 64, 84, 1, 86727,  2*
29, 31.5, 79645, 68621, 11313, 34117, 17738, 5386, 6043, 3131, 44, 75, 0, 225994,  2*
30, 32.4, 11460, 6509, 6941, 8952, 9300, 5472, 3569, 3296, 60, 64, 0, 55499,  2*
31, 33.3, 18828, 42619, 4072, 11362, 6614, 2591, 3778, 3894, 40, 47, 0, 93758,  2*
32, 34.5, 14714, 14892, 25017, 5569, 7829, 3290, 4856, 2467, 24, 51, 1, 78634,  2*
33, 35.4, 14021, 7038, 6997, 6023, 5033, 5351, 3291, 2294, 51, 54, 1, 50048,  2*
34, 36.5, 4541, 9367, 5078, 3005, 4749, 6343, 4044, 3943, 56, 48, 1, 41070,  2*
35, 37.4, 1099, 3855, 14501, 8732, 6504, 4777, 12955, 3570, 77, 66, 1, 55993,  2*
36, 38.4, 5844, 27419, 8190, 12752, 8654, 6255, 4668, 2121, 88, 56, 0, 75903,  2*
37, 39.4, 6244, 12853, 4353, 39366, 9013, 7477, 2842, 8085, 77, 64, 0, 90233,  2*
38, 40.4, 3823, 7982, 8258, 4623, 5320, 5698, 5670, 3745, 74, 69, 1, 45119,  2*
39, 41.4, 1800, 29370, 53896, 18666, 10150, 5653, 6287, 3225, 56, 69, 1, 129047,  2*
40, 42.5, 5457, 8491, 12348, 5805, 13896, 10549, 9252, 3929, 70, 69, 1, 69727,  2*
41, 43.3, 4149, 15744, 13804, 13259, 18417, 7323, 3800, 4846, 77, 60, 1, 81342,  2*
42, 44.3, 7100, 19365, 6216, 15444, 23338, 12415, 7796, 4089, 77, 53, 0, 95763,  2*
43, 45.4, 3988, 19492, 1951, 11453, 2824, 9586, 4016, 4441, 100, 38, 0, 57751,  2*
44, 46.3, 1075, 4174, 850, 8811, 11723, 5189, 6825, 6579, 100, 37, 0, 45226,  2*
45, 47.4, 7689, 11654, 45281, 5645, 2662, 5956, 16862, 3038, 90, 53, 1, 98787,  2*
46, 48.4, 9783, 4731, 14379, 6343, 2250, 4094, 9638, 5166, 81, 74, 1, 56384,  2*
47, 50.4, 15922, 4772, 6450, 20950, 2201, 5958, 3430, 1967, 75, 93, 0, 61650,  2*
48, 51.4, 5801, 9160, 8734, 10071, 7266, 7511, 4487, 2233, 83, 90, 0, 55263,  2*
49, 52.4, 2682, 11296, 3733, 25540, 3427, 10077, 5832, 5486, 90, 84, 0, 68073,  2*
50, 53.4, 7775, 7091, 2921, 6390, 8565, 13200, 3141, 6593, 100, 61, 0, 55676,  2*
51, 54.3, 5488, 11062, 1430, 18569, 12331, 8825, 8281, 4637, 100, 54, 0, 70623,  2*
52, 56.4, 2436, 4610, 5046, 6581, 9282, 11477, 3631, 5415, 100, 47, 0, 48478,  2*
53, 57.3, 3185, 11340, 8524, 4921, 3978, 12568, 5250, 7624, 100, 43, 1, 57390,  2*
54, 58.4, 590, 13842, 17424, 9696, 3419, 6277, 12354, 4245, 100, 51, 1, 67847,  2*
55, 59.3, 4010, 13925, 3029, 13903, 22692, 3117, 16294, 2527, 77, 51, 0, 79497,  2*
56, 60.4, 251793, 114153, 11153, 29441, 11328, 6071, 3498, 4365, 44, 43, 0, 431802,  2*
57, 61.3, 66314, 79202, 19731, 10800, 6672, 3388, 3374, 4559, 8, 38, 1, 194040,  2*
58, 62.2, 2205, 19631, 6508, 2164, 11228, 19525, 6874, 6082, 27, 14, 1, 74217,  2*
59, 63.4, 30515, 11341, 18201, 26135, 15685, 4892, 4327, 2568, 26, 27, 0, 113664,  2*
60, 64.3, 534159, 46881, 17944, 12829, 16704, 10671, 5317, 3035, 44, 34, 1, 647540,  2*
61, 65.4, 40646, 21053, 18264, 8003, 9024, 6699, 9384, 5548, 64, 41, 1, 118621,  2*
62, 66.3, 47083, 26805, 9539, 3937, 6491, 3978, 5063, 3723, 40, 50, 1, 106619,  2*
63, 67.3, 25681, 5164, 17266, 6859, 5518, 5800, 4379, 2089, 51, 50, 1, 72756,  2*
64, 68.3, 55564, 153986, 26536, 27881, 16510, 11038, 6237, 4093, 38, 47, 0, 301845,  2*
65, 69.3, 37151, 5521, 12839, 9073, 7161, 7289, 3751, 3928, 47, 51, 1, 86713,  2*
66, 70.2, 132019, 39630, 3077, 4927, 3980, 1982, 1136, 1034, 35, 43, 0, 187785,  2*
67, 71.3, 23646, 39094, 4364, 8312, 10979, 10380, 2418, 12057, 35, 21, 0, 111250,  2*
68, 72.3, 10858, 37493, 21917, 20245, 9740, 6550, 9942, 5137, 41, 30, 1, 121882,  2*
69, 74.3, 416100, 125279, 17427, 43789, 10395, 13027, 3495, 3757, 23, 20, 0, 633269,  2*
70, 75.2, 6332, 11355, 15204, 2197, 3827, 6695, 3581, 6308, 60, 44, 1, 55499,  2*
