obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.9, 22635, 38001, 18912, 24922, 10265, 7227, 4705, 2435, 7, 53, 0, 129102,  2*
2, 3.0, 707185, 37067, 14192, 17098, 3271, 5317, 3975, 2890, 14, 60, 0, 790995,  2*
3, 4.2, 7588, 7677, 2671, 25954, 6717, 5325, 2938, 2536, 16, 60, 0, 61406,  2*
4, 4.9, 52551, 26819, 6779, 11148, 14223, 7180, 4937, 3005, 24, 63, 0, 126642,  2*
5, 6.0, 192491, 71554, 16236, 6936, 9903, 7415, 2328, 2204, 23, 53, 1, 309067,  2*
6, 6.9, 47976, 49625, 33956, 37182, 7813, 7663, 5016, 5179, 21, 57, 0, 194410,  2*
7, 8.0, 81415, 28417, 5197, 23352, 8489, 9772, 6105, 6800, 23, 50, 0, 169547,  2*
8, 8.9, 10502, 3189, 10427, 5537, 6674, 10930, 7215, 6780, 35, 54, 1, 61254,  2*
9, 10.9, 216044, 127506, 5285, 18522, 7590, 5913, 6728, 2850, 26, 51, 0, 390438,  2*
10, 11.9, 44520, 38075, 5501, 2623, 7505, 5004, 7720, 3007, 20, 37, 1, 113955,  2*
11, 12.9, 39789, 40543, 39888, 10354, 5639, 7585, 5249, 2436, 1, 38, 1, 151483,  2*
12, 13.9, 20297, 15165, 5773, 21206, 5917, 3166, 3606, 3423, 8, 56, 0, 78553,  2*
13, 14.9, 22628, 15827, 30434, 7162, 5233, 2870, 3560, 4207, 8, 63, 1, 91921,  2*
14, 16.9, 19084, 13092, 6239, 4863, 5216, 12994, 2002, 1833, 24, 69, 1, 65323,  2*
15, 17.9, 35763, 32809, 6538, 26671, 48947, 36407, 8349, 4887, 37, 50, 0, 200371,  2*
16, 18.9, 756634, 740239, 265911, 231133, 126515, 350594, 163949, 98778, 53, 38, 1, 2733753,  2*
17, 19.8, 244146, 42345, 14594, 6502, 12013, 12709, 6491, 3939, 43, 37, 1, 342739,  2*
18, 21.0, 1084428, 1245138, 120976, 64485, 45808, 86092, 72100, 41812, 47, 24, 1, 2760839,  2*
19, 21.9, 59086, 42324, 13123, 6458, 3621, 10845, 3774, 8110, 35, 26, 1, 147341,  2*
20, 22.8, 99099, 160865, 18554, 175149, 50178, 40183, 31171, 29464, 26, 30, 0, 604663,  2*
21, 23.9, 664581, 179670, 98409, 29869, 28099, 70367, 48154, 22398, 27, 37, 1, 1141547,  2*
22, 24.9, 939511, 885338, 81834, 59845, 44184, 47682, 58081, 28998, 24, 37, 1, 2145473,  2*
23, 25.9, 566907, 305967, 56904, 75527, 19038, 44304, 61942, 42253, 20, 38, 0, 1172842,  2*
24, 26.9, 919975, 40083, 1033, 23844, 11189, 16487, 6610, 6276, 27, 30, 0, 1025497,  2*
25, 27.8, 597244, 234221, 35459, 15402, 56006, 59895, 36689, 16636, 27, 21, 1, 1051552,  2*
26, 28.9, 545985, 253457, 66311, 9436, 20464, 52399, 67945, 27356, 40, 24, 1, 1043353,  2*
27, 29.9, 242233, 93501, 40292, 32502, 38497, 46282, 34850, 34223, 50, 26, 1, 562380,  2*
28, 30.8, 56614, 48173, 18453, 46390, 23227, 27359, 27389, 17566, 50, 30, 0, 265171,  2*
29, 31.9, 109936, 85312, 28071, 3948, 18715, 7197, 5299, 8708, 37, 38, 1, 267186,  2*
30, 32.8, 154929, 93520, 17995, 53185, 15201, 33365, 73621, 29554, 41, 44, 0, 471370,  2*
31, 34.9, 55644, 14133, 21079, 8290, 8547, 32627, 21770, 16812, 51, 47, 1, 178902,  2*
32, 35.8, 17992, 23968, 5891, 12113, 12852, 19464, 14804, 9848, 63, 43, 0, 116932,  2*
33, 36.9, 6092, 10113, 6176, 27690, 8050, 17539, 9100, 12799, 69, 50, 0, 97559,  2*
34, 37.8, 79891, 33133, 14263, 5658, 35754, 29034, 9344, 7004, 67, 41, 1, 214081,  2*
35, 39.8, 20440, 8812, 109556, 13590, 5449, 13041, 21444, 13666, 64, 63, 1, 205998,  2*
36, 40.8, 957364, 119512, 45029, 31197, 21748, 15732, 15022, 11430, 40, 75, 1, 1217034,  2*
37, 41.9, 15630, 13880, 27353, 13252, 12597, 15288, 7209, 6206, 30, 88, 1, 111415,  2*
38, 42.8, 267456, 89489, 46273, 27604, 16351, 13643, 18619, 19763, 30, 69, 1, 499198,  2*
39, 43.8, 2640, 19650, 4180, 4892, 14199, 30705, 15129, 6929, 50, 44, 0, 98324,  2*
40, 44.9, 12140, 33345, 17583, 4315, 14206, 26241, 24467, 9594, 66, 38, 1, 141891,  2*
41, 45.8, 276028, 41530, 27141, 15288, 20557, 35710, 34290, 10154, 69, 34, 1, 460698,  2*
42, 46.7, 7082, 33115, 13064, 80039, 23794, 18807, 14122, 9473, 75, 38, 0, 199496,  2*
43, 47.9, 38099, 46418, 2940, 4716, 42820, 47905, 24807, 15328, 74, 29, 0, 223033,  2*
44, 48.7, 3267, 5882, 12402, 2680, 19303, 14309, 31964, 8335, 77, 34, 1, 98142,  2*
45, 49.8, 15907, 12134, 16935, 9748, 39692, 23671, 36207, 8074, 81, 29, 1, 162368,  2*
46, 50.8, 54342, 13955, 11236, 26535, 8596, 18332, 6935, 14354, 90, 27, 0, 154285,  2*
47, 51.7, 650869, 65201, 22986, 10659, 10683, 41227, 20038, 26102, 83, 44, 1, 847765,  2*
48, 52.9, 14306, 15657, 11117, 12311, 7507, 23401, 19518, 21690, 81, 47, 0, 125507,  2*
49, 53.8, 10421, 18809, 15684, 27685, 23883, 16880, 17112, 13375, 74, 53, 0, 143849,  2*
50, 54.8, 7962, 11913, 10682, 20904, 21145, 35689, 18213, 4953, 83, 47, 0, 131461,  2*
51, 55.8, 5874, 20085, 17682, 43678, 21693, 29174, 20499, 6448, 81, 56, 0, 165133,  2*
52, 56.7, 8067, 30756, 6119, 3398, 23315, 13428, 6029, 6566, 77, 43, 1, 97678,  2*
53, 57.8, 8150, 27093, 4512, 8284, 15979, 15975, 9364, 21789, 80, 34, 0, 111146,  2*
