obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.9, 110678, 58201, 6213, 3263, 2368, 3681, 1772, 927, 37, 44, 1, 187103,  1*
2, 3.0, 89635, 19271, 17276, 28680, 16682, 19003, 8114, 3474, 29, 47, 0, 202135,  1*
3, 4.0, 347503, 33122, 45030, 37982, 35698, 26516, 14632, 5500, 29, 50, 1, 545983,  1*
4, 4.9, 404804, 27900, 13626, 33093, 14738, 30483, 15145, 9338, 44, 48, 0, 549127,  1*
5, 6.0, 299355, 81712, 17860, 10898, 12295, 12504, 4447, 3739, 51, 53, 1, 442810,  1*
6, 6.9, 36869, 13594, 16202, 7488, 17824, 4183, 7316, 6083, 43, 51, 1, 109559,  1*
7, 9.0, 217117, 28200, 7092, 16010, 13635, 19668, 15470, 6694, 48, 41, 0, 323886,  1*
8, 9.9, 11942, 2517, 11971, 13357, 51963, 19658, 35989, 9287, 67, 34, 0, 156684,  1*
9, 11.0, 180736, 46694, 6340, 1564, 7488, 10032, 7784, 7601, 74, 17, 1, 268239,  1*
10, 11.9, 23695, 45798, 19836, 31671, 46046, 50333, 26988, 12933, 75, 17, 0, 257300,  1*
11, 13.0, 12347, 20052, 11329, 18611, 14622, 16985, 12419, 7621, 69, 26, 0, 113986,  1*
12, 13.9, 17667, 33326, 27446, 20430, 44614, 32635, 6382, 16815, 64, 29, 1, 199315,  1*
13, 14.9, 708359, 37198, 4295, 4227, 14117, 8289, 8914, 6541, 64, 30, 1, 791940,  1*
14, 15.9, 82456, 33484, 3600, 700, 1245, 3162, 1750, 609, 50, 20, 1, 127006,  1*
15, 16.9, 94239, 12103, 26599, 20653, 5178, 11718, 10514, 13772, 44, 29, 1, 194776,  1*
16, 17.9, 42172, 7570, 31659, 3920, 9704, 12917, 8538, 2804, 41, 40, 1, 119284,  1*
17, 19.0, 8163, 31010, 20298, 45883, 14830, 9911, 10499, 2463, 37, 60, 0, 143057,  1*
18, 19.9, 6282, 12857, 9501, 1465, 5534, 6473, 17739, 7721, 47, 74, 1, 67572,  1*
19, 20.8, 3066, 17732, 65375, 27805, 3735, 10339, 10182, 2718, 41, 78, 1, 140952,  1*
20, 21.9, 7293, 10512, 14813, 7203, 1865, 8668, 4043, 8577, 41, 77, 1, 62974,  1*
21, 22.8, 2439, 27213, 20356, 5020, 6779, 6090, 3925, 4422, 41, 69, 1, 76244,  1*
22, 24.0, 14192, 54973, 6814, 11647, 8497, 7452, 5850, 3582, 34, 66, 0, 113007,  1*
23, 24.9, 3187, 24180, 5240, 9256, 6700, 10466, 6194, 6480, 41, 47, 0, 71703,  1*
24, 25.8, 5225, 22905, 15885, 21755, 13783, 11719, 5739, 4919, 40, 44, 0, 101930,  1*
25, 26.9, 44488, 22420, 8779, 14370, 7005, 10589, 3130, 5067, 44, 43, 0, 115848,  1*
26, 27.8, 22376, 18982, 9732, 4158, 4967, 9119, 3303, 4431, 51, 47, 1, 77068,  1*
27, 28.9, 32484, 52186, 39080, 35193, 16260, 12094, 7066, 2625, 43, 56, 1, 196988,  1*
28, 29.9, 23249, 28399, 8954, 12123, 14356, 6573, 6537, 3576, 38, 50, 0, 103767,  1*
29, 30.8, 23355, 39035, 7129, 12279, 13061, 18685, 8063, 4965, 41, 43, 0, 126572,  1*
30, 32.9, 24046, 5705, 5449, 10431, 2954, 5673, 3426, 3973, 43, 53, 0, 61657,  1*
31, 33.8, 113207, 77511, 7444, 22232, 5232, 9689, 3463, 6375, 43, 50, 0, 245153,  1*
32, 35.0, 4857, 6649, 17989, 11041, 7854, 6166, 5001, 4579, 38, 66, 1, 64136,  1*
33, 35.8, 13505, 19288, 7347, 47325, 15500, 12997, 9496, 8392, 34, 66, 0, 133850,  1*
34, 37.9, 50650, 18834, 14879, 1712, 15767, 6550, 9550, 5659, 37, 57, 1, 123601,  1*
35, 38.8, 16114, 28251, 34787, 21312, 5027, 9099, 5738, 4572, 38, 67, 1, 124900,  1*
36, 39.9, 5677, 14529, 8734, 7666, 1445, 8909, 4927, 5356, 43, 63, 1, 57243,  1*
37, 40.8, 2544, 7269, 6384, 7929, 2505, 9838, 6316, 6390, 51, 67, 0, 49175,  1*
38, 41.9, 26655, 5924, 7717, 7126, 4021, 11975, 4382, 3799, 60, 64, 1, 71599,  1*
39, 42.8, 5823, 2872, 6714, 17632, 9953, 11020, 6698, 7777, 70, 63, 0, 68489,  1*
40, 43.8, 10277, 7702, 12629, 1005, 3928, 15629, 5433, 6079, 80, 60, 1, 62682,  1*
41, 44.8, 7351, 15848, 7972, 22493, 12476, 5536, 7980, 7867, 67, 61, 0, 87523,  1*
42, 45.8, 8717, 14277, 1160, 14282, 4533, 9641, 6147, 8686, 63, 60, 0, 67443,  1*
43, 46.8, 2191, 15191, 2244, 2636, 7456, 8483, 6716, 8134, 64, 41, 0, 53051,  1*
44, 47.8, 3418, 7125, 5019, 1741, 5332, 6038, 4991, 4316, 60, 38, 1, 37980,  1*
45, 48.8, 7148, 4779, 9603, 13418, 3481, 7500, 7288, 7495, 66, 43, 0, 60712,  1*
46, 49.7, 471687, 15685, 7334, 9014, 8171, 9484, 6594, 4010, 66, 40, 0, 531979,  1*
47, 50.8, 9043, 2677, 8979, 8260, 12812, 10250, 6327, 4901, 67, 54, 1, 63249,  1*
48, 51.7, 22469, 27894, 15102, 9689, 27090, 10718, 15690, 7429, 61, 54, 1, 136081,  1*
49, 52.8, 591131, 36202, 10425, 27423, 4856, 6044, 4669, 4180, 51, 50, 0, 684930,  1*
50, 53.8, 12945, 11798, 5215, 2316, 3891, 16410, 8009, 15461, 60, 43, 1, 76045,  1*
51, 55.8, 3328, 8059, 2933, 32302, 9865, 6537, 3144, 6745, 50, 51, 0, 72913,  1*
52, 56.7, 245109, 107679, 10092, 22733, 17154, 24384, 31300, 8577, 47, 38, 0, 467028,  1*
53, 57.8, 9652, 25335, 6618, 34274, 12140, 24699, 13579, 7398, 38, 48, 0, 133695,  1*
54, 58.8, 10286, 2685, 2036, 5519, 11134, 14733, 21469, 13190, 57, 30, 0, 81052,  1*
55, 59.7, 9433, 14125, 13219, 6582, 6317, 3990, 4918, 7172, 61, 40, 1, 65756,  1*
56, 61.8, 41486, 52647, 31818, 10447, 10694, 17325, 10363, 5459, 63, 48, 1, 180239,  1*
57, 62.7, 8163, 8637, 11658, 21821, 8779, 24198, 15264, 8353, 51, 60, 0, 106873,  1*
58, 63.8, 30270, 39283, 1883, 14185, 7572, 32738, 15997, 11953, 64, 47, 0, 153881,  1*
59, 64.7, 5348, 10374, 6148, 13861, 14426, 13302, 7759, 6113, 70, 44, 0, 77331,  1*
60, 65.8, 2605, 5959, 10470, 11274, 8256, 14116, 13604, 6479, 78, 47, 0, 72763,  1*
61, 66.8, 6880, 8883, 5414, 21469, 11736, 12354, 22272, 3718, 75, 47, 0, 92726,  1*
62, 67.7, 24396, 7629, 10176, 28917, 2486, 16032, 8178, 3450, 69, 64, 0, 101264,  1*
63, 68.8, 3578, 34452, 9897, 13972, 9043, 13981, 9416, 7390, 64, 63, 0, 101729,  1*
64, 69.7, 5030, 13859, 8793, 53175, 10660, 15601, 7783, 2744, 57, 69, 0, 117645,  1*
