obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.0, 47728, 35651, 17318, 14351, 7255, 9976, 10081, 3531, 29, 83, 1, 145891,  1*
2, 2.1, 5245, 34261, 30073, 8253, 11732, 7577, 7605, 3974, 29, 78, 1, 108720,  1*
3, 3.0, 460553, 138165, 7604, 3893, 5258, 15346, 4075, 4292, 37, 51, 1, 639186,  1*
4, 3.9, 28203, 35023, 6407, 23340, 4848, 4910, 1991, 1830, 40, 44, 0, 106552,  1*
5, 5.0, 10481, 18154, 9240, 8864, 4464, 9896, 6959, 2809, 47, 43, 1, 70867,  1*
6, 6.0, 633523, 76256, 25163, 17864, 4551, 17765, 5129, 2141, 50, 38, 1, 782392,  1*
7, 7.0, 439869, 162148, 8330, 12019, 6625, 8428, 2283, 1579, 43, 43, 0, 641281,  1*
8, 8.0, 29560, 18304, 24421, 2510, 7578, 7101, 6662, 6673, 50, 43, 1, 102809,  1*
9, 9.0, 11065, 18739, 8468, 5732, 7990, 4704, 3948, 1757, 43, 41, 1, 62403,  1*
10, 10.0, 19936, 23946, 18861, 8397, 13065, 3575, 3990, 3778, 37, 47, 1, 95548,  1*
11, 11.0, 23817, 29919, 9049, 6677, 2479, 6242, 9597, 2828, 47, 61, 1, 90608,  1*
12, 11.9, 184681, 167038, 9157, 7229, 18506, 8835, 8343, 3543, 35, 38, 1, 407332,  1*
13, 13.0, 38591, 22852, 9430, 14653, 11700, 6838, 22018, 6140, 37, 41, 0, 132222,  1*
14, 13.9, 8310, 6852, 9809, 3793, 1570, 5820, 7930, 2417, 50, 44, 1, 46501,  1*
15, 14.9, 19650, 7167, 16776, 9247, 3923, 9345, 4181, 1666, 56, 56, 1, 71955,  1*
16, 16.0, 13959, 22381, 10502, 29188, 13780, 3982, 9692, 3983, 60, 81, 0, 107467,  1*
17, 16.9, 2660, 19308, 105486, 13772, 4850, 5650, 4883, 2624, 47, 100, 1, 159233,  1*
