obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.5, 11250, 15618, 2162, 12620, 5134, 5552, 5758, 2450, 60, 63, 0, 60544,  1*
2, 2.6, 13167, 23493, 10846, 29954, 3058, 4380, 8591, 3492, 29, 96, 0, 96981,  1*
3, 3.5, 15980, 10893, 8299, 10619, 4503, 4212, 7259, 4146, 43, 84, 0, 65911,  1*
4, 4.5, 49208, 21908, 26883, 6833, 6023, 4582, 3679, 3968, 24, 77, 1, 123084,  1*
5, 5.6, 9053, 3911, 7710, 3619, 1323, 2146, 2158, 3220, 21, 100, 1, 33140,  1*
6, 6.5, 36408, 13159, 21054, 45071, 3454, 4504, 2281, 3962, 17, 100, 0, 129893,  1*
7, 7.4, 78820, 27660, 3319, 33318, 13060, 8453, 3940, 4847, 14, 93, 0, 173417,  1*
8, 8.6, 36411, 50847, 52898, 20832, 14756, 6669, 5183, 4061, 7, 83, 1, 191657,  1*
9, 9.5, 120884, 134933, 31111, 18477, 4724, 5467, 3089, 5240, 1, 47, 1, 323925,  1*
10, 10.6, 61217, 54336, 23479, 12553, 2811, 16735, 3670, 7708, 13, 13, 1, 182509,  1*
11, 11.5, 23207, 20306, 7956, 19425, 6691, 4907, 3983, 4065, 13, 14, 0, 90540,  1*
12, 13.6, 23549, 27145, 1182, 3265, 11967, 7167, 4181, 5459, 43, 1, 0, 83915,  1*
13, 14.6, 4842, 13741, 5497, 5903, 8646, 6275, 2041, 1853, 54, 21, 0, 48798,  1*
14, 15.6, 98741, 98438, 28310, 12495, 8955, 10668, 3897, 3107, 50, 17, 1, 264611,  1*
15, 16.5, 4812, 9186, 34938, 49690, 13402, 4154, 5262, 3832, 27, 60, 0, 125276,  1*
16, 17.5, 414670, 56828, 5527, 15717, 16815, 17260, 8127, 2443, 51, 50, 0, 537387,  1*
17, 19.5, 14301, 34194, 16052, 1340, 23287, 8771, 2819, 4621, 47, 43, 1, 105385,  1*
18, 20.5, 10161, 19085, 22401, 27574, 7801, 6734, 6537, 2988, 44, 29, 0, 103281,  1*
19, 21.5, 87664, 74237, 2527, 4014, 7978, 8176, 2883, 5414, 35, 20, 0, 192893,  1*
20, 22.4, 21908, 13965, 62195, 45042, 12849, 11638, 6048, 2671, 29, 48, 1, 176316,  1*
21, 23.6, 43693, 53762, 64907, 10317, 5357, 8846, 2723, 3748, 44, 67, 1, 193353,  1*
22, 24.5, 29190, 21476, 5923, 37031, 7945, 4228, 8472, 3110, 40, 67, 0, 117375,  1*
23, 25.4, 893006, 26113, 11886, 2164, 3173, 9727, 1470, 3138, 51, 84, 1, 950677,  1*
24, 26.6, 24071, 20372, 14493, 13369, 7921, 8158, 2292, 2743, 60, 70, 1, 93419,  1*
25, 27.5, 5191, 21778, 2766, 5001, 5867, 6745, 2437, 6348, 77, 54, 0, 56133,  1*
26, 28.5, 9572, 18164, 23830, 9905, 9125, 10987, 3295, 4553, 91, 51, 1, 89431,  1*
27, 29.5, 76269, 42286, 4212, 2946, 2311, 2056, 747, 465, 67, 41, 1, 131292,  1*
28, 30.4, 8989, 4555, 6206, 5501, 6671, 4021, 4258, 2520, 74, 41, 1, 42721,  1*
29, 31.5, 40724, 19450, 9523, 16451, 21462, 7993, 3619, 2537, 69, 51, 0, 121759,  1*
30, 32.4, 20459, 7619, 23889, 4790, 1801, 5709, 4211, 5026, 66, 60, 1, 73504,  1*
31, 33.4, 23964, 8568, 11868, 9853, 8237, 3423, 7420, 2234, 78, 81, 1, 75567,  1*
32, 34.5, 10391, 2725, 3447, 3167, 5360, 7321, 2047, 2130, 87, 74, 1, 36588,  1*
33, 35.4, 3506, 12501, 2554, 8137, 3081, 9400, 2531, 1649, 93, 70, 0, 43359,  1*
34, 36.4, 2980, 3453, 27331, 7276, 3728, 5467, 3719, 1636, 87, 75, 1, 55590,  1*
35, 37.5, 26240, 8236, 11046, 13448, 3030, 6947, 3449, 4851, 90, 77, 0, 77247,  1*
36, 38.4, 9579, 18961, 17080, 16085, 4727, 5885, 4178, 5073, 67, 90, 1, 81568,  1*
37, 39.5, 206596, 90352, 12603, 29713, 7359, 7729, 7250, 2107, 44, 90, 0, 363709,  1*
38, 40.4, 6163, 2994, 8112, 4847, 2646, 6327, 5884, 2181, 56, 78, 1, 39154,  1*
39, 42.5, 2185, 17262, 11408, 6953, 5054, 4616, 3557, 2738, 51, 70, 1, 53773,  1*
40, 43.4, 100215, 21074, 33645, 5031, 5962, 12861, 4600, 4410, 69, 77, 1, 187798,  1*
41, 44.5, 3994, 7885, 9449, 7659, 5019, 6863, 1475, 3838, 64, 75, 1, 46182,  1*
42, 45.4, 6250, 11400, 3417, 8686, 6105, 6634, 3694, 2747, 74, 70, 0, 48933,  1*
43, 46.4, 4413, 6110, 6388, 6706, 5576, 5605, 3592, 2760, 81, 69, 0, 41150,  1*
44, 48.4, 21791, 2994, 2020, 4520, 3450, 5608, 4153, 6816, 91, 63, 0, 51352,  1*
